productkey,product,category,subcategory
381,"Road-550-W Yellow, 38",Bikes,Road Bikes
380,"Road-250 Black, 58",Bikes,Road Bikes
379,"Road-250 Black, 58",Bikes,Road Bikes
378,"Road-250 Black, 52",Bikes,Road Bikes
377,"Road-250 Black, 52",Bikes,Road Bikes
376,"Road-250 Black, 48",Bikes,Road Bikes
375,"Road-250 Black, 48",Bikes,Road Bikes
374,"Road-250 Black, 44",Bikes,Road Bikes
373,"Road-250 Black, 44",Bikes,Road Bikes
372,"Road-250 Red, 58",Bikes,Road Bikes
371,"Road-250 Red, 58",Bikes,Road Bikes
370,"Road-250 Red, 52",Bikes,Road Bikes
369,"Road-250 Red, 48",Bikes,Road Bikes
368,"Road-250 Red, 44",Bikes,Road Bikes
343,"Road-650 Black, 52",Bikes,Road Bikes
342,"Road-650 Black, 52",Bikes,Road Bikes
341,"Road-650 Black, 48",Bikes,Road Bikes
340,"Road-650 Black, 48",Bikes,Road Bikes
339,"Road-650 Black, 44",Bikes,Road Bikes
338,"Road-650 Black, 44",Bikes,Road Bikes
337,"Road-650 Black, 62",Bikes,Road Bikes
336,"Road-650 Black, 62",Bikes,Road Bikes
334,"Road-650 Black, 60",Bikes,Road Bikes
333,"Road-650 Black, 58",Bikes,Road Bikes
332,"Road-650 Black, 58",Bikes,Road Bikes
331,"Road-650 Red, 52",Bikes,Road Bikes
330,"Road-650 Red, 52",Bikes,Road Bikes
329,"Road-650 Red, 48",Bikes,Road Bikes
328,"Road-650 Red, 48",Bikes,Road Bikes
327,"Road-650 Red, 44",Bikes,Road Bikes
326,"Road-650 Red, 44",Bikes,Road Bikes
325,"Road-650 Red, 62",Bikes,Road Bikes
324,"Road-650 Red, 62",Bikes,Road Bikes
323,"Road-650 Red, 60",Bikes,Road Bikes
322,"Road-650 Red, 60",Bikes,Road Bikes
321,"Road-650 Red, 58",Bikes,Road Bikes
320,"Road-650 Red, 58",Bikes,Road Bikes
319,"Road-450 Red, 52",Bikes,Road Bikes
318,"Road-450 Red, 48",Bikes,Road Bikes
317,"Road-450 Red, 44",Bikes,Road Bikes
316,"Road-450 Red, 60",Bikes,Road Bikes
315,"Road-450 Red, 58",Bikes,Road Bikes
314,"Road-150 Red, 56",Bikes,Road Bikes
313,"Road-150 Red, 52",Bikes,Road Bikes
312,"Road-150 Red, 48",Bikes,Road Bikes
311,"Road-150 Red, 44",Bikes,Road Bikes
335,"Road-650 Black, 60",Bikes,Road Bikes
390,"Road-550-W Yellow, 48",Bikes,Road Bikes
389,"Road-550-W Yellow, 48",Bikes,Road Bikes
388,"Road-550-W Yellow, 44",Bikes,Road Bikes
578,"Touring-2000 Blue, 50",Bikes,Touring Bikes
574,"Touring-1000 Blue, 50",Bikes,Touring Bikes
573,"Touring-1000 Blue, 46",Bikes,Touring Bikes
572,"Touring-3000 Yellow, 62",Bikes,Touring Bikes
571,"Touring-3000 Yellow, 58",Bikes,Touring Bikes
570,"Touring-3000 Yellow, 54",Bikes,Touring Bikes
569,"Touring-3000 Yellow, 50",Bikes,Touring Bikes
562,"Touring-1000 Yellow, 50",Bikes,Touring Bikes
563,"Touring-1000 Yellow, 54",Bikes,Touring Bikes
564,"Touring-1000 Yellow, 60",Bikes,Touring Bikes
565,"Touring-3000 Blue, 54",Bikes,Touring Bikes
566,"Touring-3000 Blue, 58",Bikes,Touring Bikes
567,"Touring-3000 Blue, 62",Bikes,Touring Bikes
568,"Touring-3000 Yellow, 44",Bikes,Touring Bikes
561,"Touring-1000 Yellow, 46",Bikes,Touring Bikes
586,"Touring-3000 Blue, 50",Bikes,Touring Bikes
577,"Touring-2000 Blue, 46",Bikes,Touring Bikes
576,"Touring-1000 Blue, 60",Bikes,Touring Bikes
575,"Touring-1000 Blue, 54",Bikes,Touring Bikes
585,"Touring-3000 Blue, 44",Bikes,Touring Bikes
560,"Touring-2000 Blue, 60",Bikes,Touring Bikes
579,"Touring-2000 Blue, 54",Bikes,Touring Bikes
399,ML Mountain Handlebars,Components,Handlebars
554,HL Touring Handlebars,Components,Handlebars
553,LL Touring Handlebars,Components,Handlebars
408,HL Road Handlebars,Components,Handlebars
407,HL Road Handlebars,Components,Handlebars
406,ML Road Handlebars,Components,Handlebars
405,ML Road Handlebars,Components,Handlebars
404,LL Road Handlebars,Components,Handlebars
403,LL Road Handlebars,Components,Handlebars
402,HL Mountain Handlebars,Components,Handlebars
401,HL Mountain Handlebars,Components,Handlebars
400,ML Mountain Handlebars,Components,Handlebars
398,LL Mountain Handlebars,Components,Handlebars
397,LL Mountain Handlebars,Components,Handlebars
602,ML Bottom Bracket,Components,Bottom Brackets
601,LL Bottom Bracket,Components,Bottom Brackets
603,HL Bottom Bracket,Components,Bottom Brackets
555,Front Brakes,Components,Brakes
514,Rear Brakes,Components,Brakes
559,Chain,Components,Chains
558,HL Crankset,Components,Cranksets
557,ML Crankset,Components,Cranksets
556,LL Crankset,Components,Cranksets
552,Front Derailleur,Components,Derailleurs
501,Rear Derailleur,Components,Derailleurs
391,LL Fork,Components,Forks
393,HL Fork,Components,Forks
392,ML Fork,Components,Forks
396,HL Headset,Components,Headsets
395,ML Headset,Components,Headsets
394,LL Headset,Components,Headsets
531,"LL Mountain Frame - Black, 42",Components,Mountain Frames
288,"HL Mountain Frame - Silver, 42",Components,Mountain Frames
289,"HL Mountain Frame - Silver, 42",Components,Mountain Frames
290,"HL Mountain Frame - Silver, 42",Components,Mountain Frames
291,"HL Mountain Frame - Silver, 44",Components,Mountain Frames
292,"HL Mountain Frame - Silver, 48",Components,Mountain Frames
293,"HL Mountain Frame - Silver, 46",Components,Mountain Frames
294,"HL Mountain Frame - Silver, 46",Components,Mountain Frames
295,"HL Mountain Frame - Silver, 46",Components,Mountain Frames
296,"HL Mountain Frame - Black, 42",Components,Mountain Frames
297,"HL Mountain Frame - Black, 42",Components,Mountain Frames
298,"HL Mountain Frame - Black, 42",Components,Mountain Frames
299,"HL Mountain Frame - Black, 44",Components,Mountain Frames
300,"HL Mountain Frame - Black, 48",Components,Mountain Frames
301,"HL Mountain Frame - Black, 46",Components,Mountain Frames
302,"HL Mountain Frame - Black, 46",Components,Mountain Frames
303,"HL Mountain Frame - Black, 46",Components,Mountain Frames
304,"HL Mountain Frame - Black, 38",Components,Mountain Frames
305,"HL Mountain Frame - Black, 38",Components,Mountain Frames
306,"HL Mountain Frame - Black, 38",Components,Mountain Frames
307,"HL Mountain Frame - Silver, 38",Components,Mountain Frames
308,"HL Mountain Frame - Silver, 38",Components,Mountain Frames
309,"HL Mountain Frame - Silver, 38",Components,Mountain Frames
409,"ML Mountain Frame - Black, 38",Components,Mountain Frames
426,"ML Mountain Frame - Black, 40",Components,Mountain Frames
427,"ML Mountain Frame - Black, 44",Components,Mountain Frames
428,"ML Mountain Frame - Black, 48",Components,Mountain Frames
511,"ML Mountain Frame-W - Silver, 40",Components,Mountain Frames
512,"ML Mountain Frame-W - Silver, 42",Components,Mountain Frames
513,"ML Mountain Frame-W - Silver, 46",Components,Mountain Frames
524,"LL Mountain Frame - Silver, 42",Components,Mountain Frames
525,"LL Mountain Frame - Silver, 44",Components,Mountain Frames
526,"LL Mountain Frame - Silver, 48",Components,Mountain Frames
527,"LL Mountain Frame - Silver, 52",Components,Mountain Frames
532,"LL Mountain Frame - Black, 44",Components,Mountain Frames
533,"LL Mountain Frame - Black, 48",Components,Mountain Frames
534,"LL Mountain Frame - Black, 52",Components,Mountain Frames
549,"ML Mountain Frame-W - Silver, 38",Components,Mountain Frames
550,"LL Mountain Frame - Black, 40",Components,Mountain Frames
551,"LL Mountain Frame - Silver, 40",Components,Mountain Frames
545,LL Road Pedal,Components,Pedals
544,HL Mountain Pedal,Components,Pedals
543,ML Mountain Pedal,Components,Pedals
542,LL Mountain Pedal,Components,Pedals
548,Touring Pedal,Components,Pedals
547,HL Road Pedal,Components,Pedals
546,ML Road Pedal,Components,Pedals
250,"HL Road Frame - Red, 56",Components,Road Frames
251,"HL Road Frame - Red, 56",Components,Road Frames
252,"HL Road Frame - Red, 56",Components,Road Frames
253,"LL Road Frame - Black, 58",Components,Road Frames
417,"ML Road Frame-W - Yellow, 38",Components,Road Frames
418,"ML Road Frame-W - Yellow, 38",Components,Road Frames
254,"LL Road Frame - Black, 58",Components,Road Frames
255,"LL Road Frame - Black, 58",Components,Road Frames
256,"LL Road Frame - Black, 60",Components,Road Frames
429,"ML Road Frame-W - Yellow, 40",Components,Road Frames
430,"ML Road Frame-W - Yellow, 40",Components,Road Frames
431,"ML Road Frame-W - Yellow, 42",Components,Road Frames
432,"ML Road Frame-W - Yellow, 42",Components,Road Frames
433,"ML Road Frame-W - Yellow, 44",Components,Road Frames
434,"ML Road Frame-W - Yellow, 44",Components,Road Frames
435,"ML Road Frame-W - Yellow, 48",Components,Road Frames
436,"ML Road Frame-W - Yellow, 48",Components,Road Frames
437,"HL Road Frame - Black, 62",Components,Road Frames
438,"HL Road Frame - Black, 62",Components,Road Frames
439,"HL Road Frame - Black, 44",Components,Road Frames
440,"HL Road Frame - Black, 44",Components,Road Frames
441,"HL Road Frame - Black, 48",Components,Road Frames
442,"HL Road Frame - Black, 48",Components,Road Frames
443,"HL Road Frame - Black, 52",Components,Road Frames
444,"HL Road Frame - Black, 52",Components,Road Frames
257,"LL Road Frame - Black, 60",Components,Road Frames
258,"LL Road Frame - Black, 60",Components,Road Frames
259,"LL Road Frame - Black, 62",Components,Road Frames
260,"LL Road Frame - Black, 62",Components,Road Frames
261,"LL Road Frame - Black, 62",Components,Road Frames
262,"LL Road Frame - Red, 44",Components,Road Frames
263,"LL Road Frame - Red, 44",Components,Road Frames
264,"LL Road Frame - Red, 48",Components,Road Frames
265,"LL Road Frame - Red, 48",Components,Road Frames
266,"LL Road Frame - Red, 52",Components,Road Frames
267,"LL Road Frame - Red, 52",Components,Road Frames
268,"LL Road Frame - Red, 58",Components,Road Frames
269,"LL Road Frame - Red, 58",Components,Road Frames
270,"LL Road Frame - Red, 60",Components,Road Frames
271,"LL Road Frame - Red, 60",Components,Road Frames
272,"LL Road Frame - Red, 62",Components,Road Frames
273,"LL Road Frame - Red, 62",Components,Road Frames
274,"ML Road Frame - Red, 44",Components,Road Frames
275,"ML Road Frame - Red, 48",Components,Road Frames
276,"ML Road Frame - Red, 52",Components,Road Frames
277,"ML Road Frame - Red, 58",Components,Road Frames
278,"ML Road Frame - Red, 60",Components,Road Frames
279,"LL Road Frame - Black, 44",Components,Road Frames
280,"LL Road Frame - Black, 44",Components,Road Frames
281,"LL Road Frame - Black, 44",Components,Road Frames
282,"LL Road Frame - Black, 48",Components,Road Frames
283,"LL Road Frame - Black, 48",Components,Road Frames
284,"LL Road Frame - Black, 48",Components,Road Frames
285,"LL Road Frame - Black, 52",Components,Road Frames
286,"LL Road Frame - Black, 52",Components,Road Frames
287,"LL Road Frame - Black, 52",Components,Road Frames
210,"HL Road Frame - Black, 58",Components,Road Frames
211,"HL Road Frame - Red, 58",Components,Road Frames
238,"HL Road Frame - Red, 62",Components,Road Frames
239,"HL Road Frame - Red, 62",Components,Road Frames
240,"HL Road Frame - Red, 62",Components,Road Frames
241,"HL Road Frame - Red, 44",Components,Road Frames
242,"HL Road Frame - Red, 44",Components,Road Frames
243,"HL Road Frame - Red, 44",Components,Road Frames
244,"HL Road Frame - Red, 48",Components,Road Frames
245,"HL Road Frame - Red, 48",Components,Road Frames
246,"HL Road Frame - Red, 48",Components,Road Frames
247,"HL Road Frame - Red, 52",Components,Road Frames
248,"HL Road Frame - Red, 52",Components,Road Frames
249,"HL Road Frame - Red, 52",Components,Road Frames
515,LL Mountain Seat/Saddle,Components,Saddles
522,ML Touring Seat/Saddle,Components,Saddles
521,LL Touring Seat/Saddle,Components,Saddles
520,HL Road Seat/Saddle,Components,Saddles
519,ML Road Seat/Saddle,Components,Saddles
518,LL Road Seat/Saddle,Components,Saddles
517,HL Mountain Seat/Saddle,Components,Saddles
516,ML Mountain Seat/Saddle,Components,Saddles
523,HL Touring Seat/Saddle,Components,Saddles
500,"HL Touring Frame - Blue, 60",Components,Touring Frames
502,"LL Touring Frame - Blue, 50",Components,Touring Frames
503,"LL Touring Frame - Blue, 54",Components,Touring Frames
504,"LL Touring Frame - Blue, 58",Components,Touring Frames
505,"LL Touring Frame - Blue, 62",Components,Touring Frames
506,"LL Touring Frame - Yellow, 44",Components,Touring Frames
507,"LL Touring Frame - Yellow, 50",Components,Touring Frames
508,"LL Touring Frame - Yellow, 54",Components,Touring Frames
509,"LL Touring Frame - Yellow, 58",Components,Touring Frames
510,"LL Touring Frame - Blue, 44",Components,Touring Frames
492,"HL Touring Frame - Yellow, 60",Components,Touring Frames
493,"LL Touring Frame - Yellow, 62",Components,Touring Frames
494,"HL Touring Frame - Yellow, 46",Components,Touring Frames
495,"HL Touring Frame - Yellow, 50",Components,Touring Frames
496,"HL Touring Frame - Yellow, 54",Components,Touring Frames
497,"HL Touring Frame - Blue, 46",Components,Touring Frames
498,"HL Touring Frame - Blue, 50",Components,Touring Frames
499,"HL Touring Frame - Blue, 54",Components,Touring Frames
419,LL Mountain Rear Wheel,Components,Wheels
416,Touring Front Wheel,Components,Wheels
422,LL Road Rear Wheel,Components,Wheels
421,HL Mountain Rear Wheel,Components,Wheels
420,ML Mountain Rear Wheel,Components,Wheels
424,HL Road Rear Wheel,Components,Wheels
425,Touring Rear Wheel,Components,Wheels
415,HL Road Front Wheel,Components,Wheels
414,ML Road Front Wheel,Components,Wheels
413,LL Road Front Wheel,Components,Wheels
412,HL Mountain Front Wheel,Components,Wheels
411,ML Mountain Front Wheel,Components,Wheels
410,LL Mountain Front Wheel,Components,Wheels
423,ML Road Rear Wheel,Components,Wheels
459,"Men's Bib-Shorts, S",Clothing,Bib-Shorts
461,"Men's Bib-Shorts, L",Clothing,Bib-Shorts
460,"Men's Bib-Shorts, M",Clothing,Bib-Shorts
224,AWC Logo Cap,Clothing,Caps
225,AWC Logo Cap,Clothing,Caps
223,AWC Logo Cap,Clothing,Caps
465,"Half-Finger Gloves, M",Clothing,Gloves
464,"Half-Finger Gloves, M",Clothing,Gloves
463,"Half-Finger Gloves, S",Clothing,Gloves
462,"Half-Finger Gloves, S",Clothing,Gloves
467,"Half-Finger Gloves, L",Clothing,Gloves
468,"Full-Finger Gloves, S",Clothing,Gloves
469,"Full-Finger Gloves, M",Clothing,Gloves
470,"Full-Finger Gloves, L",Clothing,Gloves
466,"Half-Finger Gloves, L",Clothing,Gloves
226,"Long-Sleeve Logo Jersey, S",Clothing,Jerseys
237,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys
236,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys
229,"Long-Sleeve Logo Jersey, M",Clothing,Jerseys
228,"Long-Sleeve Logo Jersey, S",Clothing,Jerseys
235,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys
234,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys
233,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys
232,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys
231,"Long-Sleeve Logo Jersey, M",Clothing,Jerseys
491,"Short-Sleeve Classic Jersey, XL",Clothing,Jerseys
490,"Short-Sleeve Classic Jersey, L",Clothing,Jerseys
489,"Short-Sleeve Classic Jersey, M",Clothing,Jerseys
488,"Short-Sleeve Classic Jersey, S",Clothing,Jerseys
227,"Long-Sleeve Logo Jersey, S",Clothing,Jerseys
230,"Long-Sleeve Logo Jersey, M",Clothing,Jerseys
454,"Men's Sports Shorts, L",Clothing,Shorts
445,"Men's Sports Shorts, S",Clothing,Shorts
474,"Women's Mountain Shorts, S",Clothing,Shorts
476,"Women's Mountain Shorts, L",Clothing,Shorts
475,"Women's Mountain Shorts, M",Clothing,Shorts
455,"Men's Sports Shorts, XL",Clothing,Shorts
453,"Men's Sports Shorts, M",Clothing,Shorts
482,"Racing Socks, L",Clothing,Socks
218,"Mountain Bike Socks, M",Clothing,Socks
219,"Mountain Bike Socks, L",Clothing,Socks
481,"Racing Socks, M",Clothing,Socks
457,"Women's Tights, M",Clothing,Tights
456,"Women's Tights, S",Clothing,Tights
458,"Women's Tights, L",Clothing,Tights
473,"Classic Vest, L",Clothing,Vests
471,"Classic Vest, S",Clothing,Vests
472,"Classic Vest, M",Clothing,Vests
483,Hitch Rack - 4-Bike,Accessories,Bike Racks
486,All-Purpose Bike Stand,Accessories,Bike Stands
479,Road Bottle Cage,Accessories,Bottles and Cages
477,Water Bottle - 30 oz.,Accessories,Bottles and Cages
478,Mountain Bottle Cage,Accessories,Bottles and Cages
484,Bike Wash - Dissolver,Accessories,Cleaners
485,Fender Set - Mountain,Accessories,Fenders
216,"Sport-100 Helmet, Black",Accessories,Helmets
220,"Sport-100 Helmet, Blue",Accessories,Helmets
217,"Sport-100 Helmet, Black",Accessories,Helmets
221,"Sport-100 Helmet, Blue",Accessories,Helmets
215,"Sport-100 Helmet, Black",Accessories,Helmets
214,"Sport-100 Helmet, Red",Accessories,Helmets
213,"Sport-100 Helmet, Red",Accessories,Helmets
212,"Sport-100 Helmet, Red",Accessories,Helmets
222,"Sport-100 Helmet, Blue",Accessories,Helmets
487,Hydration Pack - 70 oz.,Accessories,Hydration Packs
450,Taillights - Battery-Powered,Accessories,Lights
451,Headlights - Dual-Beam,Accessories,Lights
452,Headlights - Weatherproof,Accessories,Lights
447,Cable Lock,Accessories,Locks
446,"Touring-Panniers, Large",Accessories,Panniers
449,Mountain Pump,Accessories,Pumps
448,Minipump,Accessories,Pumps
480,Patch Kit/8 Patches,Accessories,Tires and Tubes
528,Mountain Tire Tube,Accessories,Tires and Tubes
529,Road Tire Tube,Accessories,Tires and Tubes
537,HL Mountain Tire,Accessories,Tires and Tubes
538,LL Road Tire,Accessories,Tires and Tubes
536,ML Mountain Tire,Accessories,Tires and Tubes
535,LL Mountain Tire,Accessories,Tires and Tubes
530,Touring Tire Tube,Accessories,Tires and Tubes
541,Touring Tire,Accessories,Tires and Tubes
540,HL Road Tire,Accessories,Tires and Tubes
539,ML Road Tire,Accessories,Tires and Tubes
