productkey,customerkey,promotionkey,currencykey,salesordernumber,totalproductcost,salesamount,orderdate,duedate,shipdate
360,26127,1,100,SO46747,"? 1,105.81",2049.10,06-01-2021,18-01-2021,13-01-2021
360,26252,1,100,SO46748,"? 1,105.81",2049.10,06-01-2021,18-01-2021,13-01-2021
354,12350,1,6,SO46749,"? 1,117.86",2071.42,06-01-2021,18-01-2021,13-01-2021
377,16054,1,98,SO46750,"? 1,320.68",2181.56,07-01-2021,19-01-2021,14-01-2021
377,12934,1,100,SO46751,"? 1,320.68",2181.56,07-01-2021,19-01-2021,14-01-2021
343,19931,1,100,SO46752,? 486.71,782.99,07-01-2021,19-01-2021,14-01-2021
379,21215,1,6,SO46753,"? 1,320.68",2181.56,07-01-2021,19-01-2021,14-01-2021
321,25958,1,6,SO46754,? 486.71,782.99,07-01-2021,19-01-2021,14-01-2021
343,26023,1,6,SO46755,? 486.71,782.99,07-01-2021,19-01-2021,14-01-2021
383,13993,1,100,SO46756,? 605.65,1000.44,07-01-2021,19-01-2021,14-01-2021
354,26174,1,100,SO46757,"? 1,117.86",2071.42,08-01-2021,20-01-2021,15-01-2021
387,18130,1,100,SO46758,? 605.65,1000.44,08-01-2021,20-01-2021,15-01-2021
373,16033,1,98,SO46759,"? 1,320.68",2181.56,08-01-2021,20-01-2021,15-01-2021
387,13986,1,100,SO46760,? 605.65,1000.44,08-01-2021,20-01-2021,15-01-2021
325,19924,1,100,SO46761,? 486.71,782.99,08-01-2021,20-01-2021,15-01-2021
368,13063,1,100,SO46762,"? 1,518.79",2443.35,08-01-2021,20-01-2021,15-01-2021
375,13202,1,100,SO46763,"? 1,320.68",2181.56,08-01-2021,20-01-2021,15-01-2021
360,26238,1,100,SO46764,"? 1,105.81",2049.10,08-01-2021,20-01-2021,15-01-2021
333,15191,1,100,SO46765,? 486.71,782.99,08-01-2021,20-01-2021,15-01-2021
369,21216,2,6,SO46766,"? 1,518.79",2443.35,08-01-2021,20-01-2021,15-01-2021
362,12573,2,6,SO46767,"? 1,105.81",2049.10,08-01-2021,20-01-2021,15-01-2021
339,26020,1,6,SO46768,? 486.71,782.99,08-01-2021,20-01-2021,15-01-2021
377,15702,1,98,SO46769,"? 1,320.68",2181.56,09-01-2021,21-01-2021,16-01-2021
370,15357,1,100,SO46770,"? 1,518.79",2443.35,09-01-2021,21-01-2021,16-01-2021
377,13068,1,100,SO46771,"? 1,320.68",2181.56,09-01-2021,21-01-2021,16-01-2021
375,13161,1,100,SO46772,"? 1,320.68",2181.56,09-01-2021,21-01-2021,16-01-2021
371,13173,1,100,SO46773,"? 1,320.68",2181.56,09-01-2021,21-01-2021,16-01-2021
375,13225,1,100,SO46774,"? 1,320.68",2181.56,09-01-2021,21-01-2021,16-01-2021
352,26249,1,100,SO46775,"? 1,117.86",2071.42,09-01-2021,21-01-2021,16-01-2021
360,12356,1,6,SO46776,"? 1,105.81",2049.10,09-01-2021,21-01-2021,16-01-2021
356,11568,1,98,SO46777,"? 1,117.86",2071.42,10-01-2021,22-01-2021,17-01-2021
352,11610,1,98,SO46778,"? 1,117.86",2071.42,10-01-2021,22-01-2021,17-01-2021
377,15929,1,98,SO46779,"? 1,320.68",2181.56,10-01-2021,22-01-2021,17-01-2021
379,12942,1,100,SO46780,"? 1,320.68",2181.56,10-01-2021,22-01-2021,17-01-2021
379,12949,1,100,SO46781,"? 1,320.68",2181.56,10-01-2021,22-01-2021,17-01-2021
371,12975,1,100,SO46782,"? 1,320.68",2181.56,10-01-2021,22-01-2021,17-01-2021
337,19069,1,100,SO46783,? 486.71,782.99,10-01-2021,22-01-2021,17-01-2021
375,13178,1,100,SO46784,"? 1,320.68",2181.56,10-01-2021,22-01-2021,17-01-2021
373,13190,1,100,SO46785,"? 1,320.68",2181.56,10-01-2021,22-01-2021,17-01-2021
354,26201,1,100,SO46786,"? 1,117.86",2071.42,10-01-2021,22-01-2021,17-01-2021
333,15195,1,100,SO46787,? 486.71,782.99,10-01-2021,22-01-2021,17-01-2021
358,12342,1,6,SO46788,"? 1,105.81",2049.10,10-01-2021,22-01-2021,17-01-2021
358,28506,1,100,SO46789,"? 1,105.81",2049.10,11-01-2021,23-01-2021,18-01-2021
379,12930,1,100,SO46790,"? 1,320.68",2181.56,11-01-2021,23-01-2021,18-01-2021
369,13016,2,100,SO46791,"? 1,518.79",2443.35,11-01-2021,23-01-2021,18-01-2021
373,13083,1,100,SO46792,"? 1,320.68",2181.56,11-01-2021,23-01-2021,18-01-2021
375,13214,1,100,SO46793,"? 1,320.68",2181.56,11-01-2021,23-01-2021,18-01-2021
373,24977,1,19,SO46794,"? 1,320.68",2181.56,11-01-2021,23-01-2021,18-01-2021
362,26234,2,100,SO46795,"? 1,105.81",2049.10,11-01-2021,23-01-2021,18-01-2021
360,26247,1,100,SO46796,"? 1,105.81",2049.10,11-01-2021,23-01-2021,18-01-2021
371,21197,1,6,SO46797,"? 1,320.68",2181.56,11-01-2021,23-01-2021,18-01-2021
368,21201,1,6,SO46798,"? 1,518.79",2443.35,11-01-2021,23-01-2021,18-01-2021
371,13662,1,100,SO46799,"? 1,320.68",2181.56,12-01-2021,24-01-2021,19-01-2021
370,13019,1,100,SO46800,"? 1,518.79",2443.35,12-01-2021,24-01-2021,19-01-2021
368,25094,1,19,SO46801,"? 1,518.79",2443.35,12-01-2021,24-01-2021,19-01-2021
337,15188,1,100,SO46802,? 486.71,782.99,12-01-2021,24-01-2021,19-01-2021
379,13595,1,100,SO46803,"? 1,320.68",2181.56,13-01-2021,25-01-2021,20-01-2021
323,19052,1,100,SO46804,? 486.71,782.99,13-01-2021,25-01-2021,20-01-2021
373,13055,1,100,SO46805,"? 1,320.68",2181.56,13-01-2021,25-01-2021,20-01-2021
370,21195,1,6,SO46806,"? 1,518.79",2443.35,13-01-2021,25-01-2021,20-01-2021
354,12339,1,6,SO46807,"? 1,117.86",2071.42,13-01-2021,25-01-2021,20-01-2021
360,12347,1,6,SO46808,"? 1,105.81",2049.10,13-01-2021,25-01-2021,20-01-2021
371,13766,1,100,SO46809,"? 1,320.68",2181.56,14-01-2021,26-01-2021,21-01-2021
370,15622,1,100,SO46810,"? 1,518.79",2443.35,14-01-2021,26-01-2021,21-01-2021
369,12941,2,100,SO46811,"? 1,518.79",2443.35,14-01-2021,26-01-2021,21-01-2021
371,13069,1,100,SO46812,"? 1,320.68",2181.56,14-01-2021,26-01-2021,21-01-2021
379,13152,1,100,SO46813,"? 1,320.68",2181.56,14-01-2021,26-01-2021,21-01-2021
371,13165,1,100,SO46814,"? 1,320.68",2181.56,14-01-2021,26-01-2021,21-01-2021
375,25093,1,19,SO46815,"? 1,320.68",2181.56,14-01-2021,26-01-2021,21-01-2021
370,13230,1,100,SO46816,"? 1,518.79",2443.35,14-01-2021,26-01-2021,21-01-2021
356,26121,1,100,SO46817,"? 1,117.86",2071.42,14-01-2021,26-01-2021,21-01-2021
369,21211,2,6,SO46818,"? 1,518.79",2443.35,14-01-2021,26-01-2021,21-01-2021
368,21001,1,6,SO46819,"? 1,518.79",2443.35,14-01-2021,26-01-2021,21-01-2021
352,28510,1,100,SO46820,"? 1,117.86",2071.42,15-01-2021,27-01-2021,22-01-2021
377,24824,1,19,SO46821,"? 1,320.68",2181.56,15-01-2021,27-01-2021,22-01-2021
325,15155,1,100,SO46822,? 486.71,782.99,15-01-2021,27-01-2021,22-01-2021
323,15193,1,100,SO46823,? 486.71,782.99,15-01-2021,27-01-2021,22-01-2021
385,24608,1,6,SO46824,? 605.65,1000.44,15-01-2021,27-01-2021,22-01-2021
354,12574,1,6,SO46825,"? 1,117.86",2071.42,15-01-2021,27-01-2021,22-01-2021
360,12575,1,6,SO46826,"? 1,105.81",2049.10,15-01-2021,27-01-2021,22-01-2021
373,13799,1,100,SO46827,"? 1,320.68",2181.56,16-01-2021,28-01-2021,23-01-2021
385,13990,1,100,SO46828,? 605.65,1000.44,16-01-2021,28-01-2021,23-01-2021
369,24786,2,19,SO46829,"? 1,518.79",2443.35,16-01-2021,28-01-2021,23-01-2021
337,19910,1,100,SO46830,? 486.71,782.99,16-01-2021,28-01-2021,23-01-2021
369,13066,2,100,SO46831,"? 1,518.79",2443.35,16-01-2021,28-01-2021,23-01-2021
352,20188,1,19,SO46832,"? 1,117.86",2071.42,16-01-2021,28-01-2021,23-01-2021
354,12360,1,6,SO46833,"? 1,117.86",2071.42,16-01-2021,28-01-2021,23-01-2021
379,12923,1,100,SO46834,"? 1,320.68",2181.56,16-01-2021,28-01-2021,23-01-2021
371,13768,1,100,SO46835,"? 1,320.68",2181.56,17-01-2021,29-01-2021,24-01-2021
377,13769,1,100,SO46836,"? 1,320.68",2181.56,17-01-2021,29-01-2021,24-01-2021
381,14003,1,100,SO46837,? 605.65,1000.44,17-01-2021,29-01-2021,24-01-2021
375,12922,1,100,SO46838,"? 1,320.68",2181.56,17-01-2021,29-01-2021,24-01-2021
375,24817,1,19,SO46839,"? 1,320.68",2181.56,17-01-2021,29-01-2021,24-01-2021
369,13058,2,100,SO46840,"? 1,518.79",2443.35,17-01-2021,29-01-2021,24-01-2021
371,13174,1,100,SO46841,"? 1,320.68",2181.56,17-01-2021,29-01-2021,24-01-2021
321,15166,1,100,SO46842,? 486.71,782.99,17-01-2021,29-01-2021,24-01-2021
375,21168,1,6,SO46843,"? 1,320.68",2181.56,17-01-2021,29-01-2021,24-01-2021
358,12343,1,6,SO46844,"? 1,105.81",2049.10,17-01-2021,29-01-2021,24-01-2021
358,11603,1,98,SO46845,"? 1,105.81",2049.10,18-01-2021,30-01-2021,25-01-2021
373,13575,1,100,SO46846,"? 1,320.68",2181.56,18-01-2021,30-01-2021,25-01-2021
371,13793,1,100,SO46847,"? 1,320.68",2181.56,18-01-2021,30-01-2021,25-01-2021
371,16201,1,98,SO46848,"? 1,320.68",2181.56,18-01-2021,30-01-2021,25-01-2021
370,24960,1,19,SO46849,"? 1,518.79",2443.35,18-01-2021,30-01-2021,25-01-2021
370,13221,1,100,SO46850,"? 1,518.79",2443.35,18-01-2021,30-01-2021,25-01-2021
360,20209,1,19,SO46851,"? 1,105.81",2049.10,18-01-2021,30-01-2021,25-01-2021
333,15194,1,100,SO46852,? 486.71,782.99,18-01-2021,30-01-2021,25-01-2021
368,21192,1,6,SO46853,"? 1,518.79",2443.35,18-01-2021,30-01-2021,25-01-2021
375,20997,1,6,SO46854,"? 1,320.68",2181.56,18-01-2021,30-01-2021,25-01-2021
379,15117,1,100,SO46855,"? 1,320.68",2181.56,19-01-2021,31-01-2021,26-01-2021
370,12935,1,100,SO46856,"? 1,518.79",2443.35,19-01-2021,31-01-2021,26-01-2021
371,13064,1,100,SO46857,"? 1,320.68",2181.56,19-01-2021,31-01-2021,26-01-2021
370,13067,1,100,SO46858,"? 1,518.79",2443.35,19-01-2021,31-01-2021,26-01-2021
370,13205,1,100,SO46859,"? 1,518.79",2443.35,19-01-2021,31-01-2021,26-01-2021
371,21180,1,6,SO46860,"? 1,320.68",2181.56,19-01-2021,31-01-2021,26-01-2021
377,21214,1,6,SO46861,"? 1,320.68",2181.56,19-01-2021,31-01-2021,26-01-2021
362,11550,2,98,SO46862,"? 1,105.81",2049.10,20-01-2021,01-02-2021,27-01-2021
362,11575,2,98,SO46863,"? 1,105.81",2049.10,20-01-2021,01-02-2021,27-01-2021
373,16045,1,98,SO46864,"? 1,320.68",2181.56,20-01-2021,01-02-2021,27-01-2021
375,15456,1,100,SO46865,"? 1,320.68",2181.56,20-01-2021,01-02-2021,27-01-2021
369,12981,2,100,SO46866,"? 1,518.79",2443.35,20-01-2021,01-02-2021,27-01-2021
377,13029,1,100,SO46867,"? 1,320.68",2181.56,20-01-2021,01-02-2021,27-01-2021
369,13189,2,100,SO46868,"? 1,518.79",2443.35,20-01-2021,01-02-2021,27-01-2021
379,13577,1,100,SO46869,"? 1,320.68",2181.56,21-01-2021,02-02-2021,28-01-2021
368,13605,1,100,SO46870,"? 1,518.79",2443.35,21-01-2021,02-02-2021,28-01-2021
370,13800,1,100,SO46871,"? 1,518.79",2443.35,21-01-2021,02-02-2021,28-01-2021
385,19186,1,98,SO46872,? 605.65,1000.44,21-01-2021,02-02-2021,28-01-2021
377,21167,1,6,SO46873,"? 1,320.68",2181.56,21-01-2021,02-02-2021,28-01-2021
381,24606,1,6,SO46874,? 605.65,1000.44,21-01-2021,02-02-2021,28-01-2021
362,11470,2,100,SO46875,"? 1,105.81",2049.10,22-01-2021,03-02-2021,29-01-2021
375,15084,1,100,SO46876,"? 1,320.68",2181.56,22-01-2021,03-02-2021,29-01-2021
370,12926,1,100,SO46877,"? 1,518.79",2443.35,22-01-2021,03-02-2021,29-01-2021
369,25061,2,19,SO46878,"? 1,518.79",2443.35,22-01-2021,03-02-2021,29-01-2021
379,13224,1,100,SO46879,"? 1,320.68",2181.56,22-01-2021,03-02-2021,29-01-2021
335,15167,1,100,SO46880,? 486.71,782.99,22-01-2021,03-02-2021,29-01-2021
354,12572,1,6,SO46881,"? 1,117.86",2071.42,22-01-2021,03-02-2021,29-01-2021
343,25960,1,6,SO46882,? 486.71,782.99,22-01-2021,03-02-2021,29-01-2021
352,26241,1,100,SO46883,"? 1,117.86",2071.42,22-01-2021,03-02-2021,29-01-2021
368,13565,1,100,SO46884,"? 1,518.79",2443.35,23-01-2021,04-02-2021,30-01-2021
373,15933,1,98,SO46885,"? 1,320.68",2181.56,23-01-2021,04-02-2021,30-01-2021
377,28669,1,100,SO46886,"? 1,320.68",2181.56,23-01-2021,04-02-2021,30-01-2021
362,12340,2,6,SO46887,"? 1,105.81",2049.10,23-01-2021,04-02-2021,30-01-2021
325,26021,1,6,SO46888,? 486.71,782.99,23-01-2021,04-02-2021,30-01-2021
383,19173,1,98,SO46889,? 605.65,1000.44,24-01-2021,05-02-2021,31-01-2021
368,12921,1,100,SO46890,"? 1,518.79",2443.35,24-01-2021,05-02-2021,31-01-2021
325,20592,1,98,SO46891,? 486.71,782.99,24-01-2021,05-02-2021,31-01-2021
370,13086,1,100,SO46892,"? 1,518.79",2443.35,24-01-2021,05-02-2021,31-01-2021
369,28659,2,100,SO46893,"? 1,518.79",2443.35,24-01-2021,05-02-2021,31-01-2021
356,26120,1,100,SO46894,"? 1,117.86",2071.42,24-01-2021,05-02-2021,31-01-2021
354,26183,1,100,SO46895,"? 1,117.86",2071.42,24-01-2021,05-02-2021,31-01-2021
333,15189,1,100,SO46896,? 486.71,782.99,24-01-2021,05-02-2021,31-01-2021
368,21179,1,6,SO46897,"? 1,518.79",2443.35,24-01-2021,05-02-2021,31-01-2021
369,21205,2,6,SO46898,"? 1,518.79",2443.35,24-01-2021,05-02-2021,31-01-2021
381,13999,1,100,SO46899,? 605.65,1000.44,25-01-2021,06-02-2021,01-02-2021
375,21194,1,6,SO46900,"? 1,320.68",2181.56,25-01-2021,06-02-2021,01-02-2021
375,21203,1,6,SO46901,"? 1,320.68",2181.56,25-01-2021,06-02-2021,01-02-2021
375,21000,1,6,SO46902,"? 1,320.68",2181.56,25-01-2021,06-02-2021,01-02-2021
354,12353,1,6,SO46903,"? 1,117.86",2071.42,25-01-2021,06-02-2021,01-02-2021
387,17080,1,100,SO46904,? 605.65,1000.44,26-01-2021,07-02-2021,02-02-2021
375,16053,1,98,SO46905,"? 1,320.68",2181.56,26-01-2021,07-02-2021,02-02-2021
368,12950,1,100,SO46906,"? 1,518.79",2443.35,26-01-2021,07-02-2021,02-02-2021
368,13087,1,100,SO46907,"? 1,518.79",2443.35,26-01-2021,07-02-2021,02-02-2021
370,21189,1,6,SO46908,"? 1,518.79",2443.35,26-01-2021,07-02-2021,02-02-2021
379,20998,1,6,SO46909,"? 1,320.68",2181.56,26-01-2021,07-02-2021,02-02-2021
331,20710,1,98,SO46910,? 486.71,782.99,27-01-2021,08-02-2021,03-02-2021
377,24832,1,19,SO46911,"? 1,320.68",2181.56,27-01-2021,08-02-2021,03-02-2021
377,13177,1,100,SO46912,"? 1,320.68",2181.56,27-01-2021,08-02-2021,03-02-2021
375,13212,1,100,SO46913,"? 1,320.68",2181.56,27-01-2021,08-02-2021,03-02-2021
356,26245,1,100,SO46914,"? 1,117.86",2071.42,27-01-2021,08-02-2021,03-02-2021
362,26276,2,100,SO46915,"? 1,105.81",2049.10,27-01-2021,08-02-2021,03-02-2021
329,15196,1,100,SO46916,? 486.71,782.99,27-01-2021,08-02-2021,03-02-2021
371,21202,1,6,SO46917,"? 1,320.68",2181.56,27-01-2021,08-02-2021,03-02-2021
343,26022,1,6,SO46918,? 486.71,782.99,27-01-2021,08-02-2021,03-02-2021
362,11481,2,100,SO46919,"? 1,105.81",2049.10,27-01-2021,08-02-2021,03-02-2021
362,11609,2,98,SO46920,"? 1,105.81",2049.10,28-01-2021,09-02-2021,04-02-2021
371,15454,1,100,SO46921,"? 1,320.68",2181.56,28-01-2021,09-02-2021,04-02-2021
368,13088,1,100,SO46922,"? 1,518.79",2443.35,28-01-2021,09-02-2021,04-02-2021
369,13176,2,100,SO46923,"? 1,518.79",2443.35,28-01-2021,09-02-2021,04-02-2021
375,13203,1,100,SO46924,"? 1,320.68",2181.56,28-01-2021,09-02-2021,04-02-2021
373,21165,1,6,SO46925,"? 1,320.68",2181.56,28-01-2021,09-02-2021,04-02-2021
377,21169,1,6,SO46926,"? 1,320.68",2181.56,28-01-2021,09-02-2021,04-02-2021
362,12348,2,6,SO46927,"? 1,105.81",2049.10,28-01-2021,09-02-2021,04-02-2021
356,12358,1,6,SO46928,"? 1,117.86",2071.42,28-01-2021,09-02-2021,04-02-2021
370,13246,1,100,SO47068,"? 1,518.79",2443.35,29-01-2021,10-02-2021,05-02-2021
383,14017,1,100,SO47069,? 605.65,1000.44,29-01-2021,10-02-2021,05-02-2021
387,14025,1,100,SO47070,? 605.65,1000.44,29-01-2021,10-02-2021,05-02-2021
369,15667,2,100,SO47071,"? 1,518.79",2443.35,29-01-2021,10-02-2021,05-02-2021
341,20062,1,100,SO47072,? 486.71,782.99,29-01-2021,10-02-2021,05-02-2021
369,25287,2,19,SO47073,"? 1,518.79",2443.35,29-01-2021,10-02-2021,05-02-2021
362,26293,2,100,SO47074,"? 1,105.81",2049.10,29-01-2021,10-02-2021,05-02-2021
360,12685,1,6,SO47075,"? 1,105.81",2049.10,29-01-2021,10-02-2021,05-02-2021
362,12588,2,6,SO47076,"? 1,105.81",2049.10,29-01-2021,10-02-2021,05-02-2021
369,16329,2,98,SO47077,"? 1,518.79",2443.35,30-01-2021,11-02-2021,06-02-2021
375,13248,1,100,SO47078,"? 1,320.68",2181.56,30-01-2021,11-02-2021,06-02-2021
375,13359,1,100,SO47079,"? 1,320.68",2181.56,30-01-2021,11-02-2021,06-02-2021
360,26302,1,100,SO47080,"? 1,105.81",2049.10,30-01-2021,11-02-2021,06-02-2021
341,15203,1,100,SO47081,? 486.71,782.99,30-01-2021,11-02-2021,06-02-2021
323,15254,1,100,SO47082,? 486.71,782.99,30-01-2021,11-02-2021,06-02-2021
329,15288,1,100,SO47083,? 486.71,782.99,30-01-2021,11-02-2021,06-02-2021
370,21561,1,6,SO47084,"? 1,518.79",2443.35,30-01-2021,11-02-2021,06-02-2021
379,16311,1,98,SO47085,"? 1,320.68",2181.56,31-01-2021,12-02-2021,07-02-2021
373,13378,1,100,SO47086,"? 1,320.68",2181.56,31-01-2021,12-02-2021,07-02-2021
377,13383,1,100,SO47087,"? 1,320.68",2181.56,31-01-2021,12-02-2021,07-02-2021
369,13274,2,100,SO47088,"? 1,518.79",2443.35,31-01-2021,12-02-2021,07-02-2021
341,15284,1,100,SO47089,? 486.71,782.99,31-01-2021,12-02-2021,07-02-2021
377,21394,1,6,SO47090,"? 1,320.68",2181.56,31-01-2021,12-02-2021,07-02-2021
354,28532,1,100,SO47091,"? 1,117.86",2071.42,01-02-2021,13-02-2021,08-02-2021
369,28802,2,100,SO47092,"? 1,518.79",2443.35,01-02-2021,13-02-2021,08-02-2021
369,13380,2,100,SO47093,"? 1,518.79",2443.35,01-02-2021,13-02-2021,08-02-2021
377,15664,1,100,SO47094,"? 1,320.68",2181.56,01-02-2021,13-02-2021,08-02-2021
370,25095,1,19,SO47095,"? 1,518.79",2443.35,01-02-2021,13-02-2021,08-02-2021
354,26283,1,100,SO47096,"? 1,117.86",2071.42,01-02-2021,13-02-2021,08-02-2021
370,21257,1,6,SO47097,"? 1,518.79",2443.35,01-02-2021,13-02-2021,08-02-2021
360,12667,1,6,SO47098,"? 1,105.81",2049.10,01-02-2021,13-02-2021,08-02-2021
325,26134,1,6,SO47099,? 486.71,782.99,01-02-2021,13-02-2021,08-02-2021
360,11612,1,98,SO47100,"? 1,105.81",2049.10,02-02-2021,14-02-2021,09-02-2021
371,16260,1,98,SO47101,"? 1,320.68",2181.56,02-02-2021,14-02-2021,09-02-2021
370,13424,1,100,SO47102,"? 1,518.79",2443.35,02-02-2021,14-02-2021,09-02-2021
368,13369,1,100,SO47103,"? 1,518.79",2443.35,02-02-2021,14-02-2021,09-02-2021
379,13279,1,100,SO47104,"? 1,320.68",2181.56,02-02-2021,14-02-2021,09-02-2021
371,13319,1,100,SO47105,"? 1,320.68",2181.56,02-02-2021,14-02-2021,09-02-2021
369,25361,2,19,SO47106,"? 1,518.79",2443.35,02-02-2021,14-02-2021,09-02-2021
352,11616,1,98,SO47107,"? 1,117.86",2071.42,03-02-2021,15-02-2021,10-02-2021
369,13839,2,100,SO47108,"? 1,518.79",2443.35,03-02-2021,15-02-2021,10-02-2021
375,28819,1,100,SO47109,"? 1,320.68",2181.56,03-02-2021,15-02-2021,10-02-2021
370,28850,1,100,SO47110,"? 1,518.79",2443.35,03-02-2021,15-02-2021,10-02-2021
369,25100,2,19,SO47111,"? 1,518.79",2443.35,03-02-2021,15-02-2021,10-02-2021
356,20318,1,19,SO47112,"? 1,117.86",2071.42,03-02-2021,15-02-2021,10-02-2021
343,15255,1,100,SO47113,? 486.71,782.99,03-02-2021,15-02-2021,10-02-2021
373,21387,1,6,SO47114,"? 1,320.68",2181.56,03-02-2021,15-02-2021,10-02-2021
370,21393,1,6,SO47115,"? 1,518.79",2443.35,03-02-2021,15-02-2021,10-02-2021
387,24611,1,6,SO47116,? 605.65,1000.44,03-02-2021,15-02-2021,10-02-2021
354,12586,1,6,SO47117,"? 1,117.86",2071.42,03-02-2021,15-02-2021,10-02-2021
362,28541,2,100,SO47118,"? 1,105.81",2049.10,03-02-2021,15-02-2021,10-02-2021
368,16275,1,98,SO47119,"? 1,518.79",2443.35,04-02-2021,16-02-2021,11-02-2021
381,14006,1,100,SO47120,? 605.65,1000.44,04-02-2021,16-02-2021,11-02-2021
375,28832,1,100,SO47121,"? 1,320.68",2181.56,04-02-2021,16-02-2021,11-02-2021
371,13362,1,100,SO47122,"? 1,320.68",2181.56,04-02-2021,16-02-2021,11-02-2021
371,25408,1,19,SO47123,"? 1,320.68",2181.56,04-02-2021,16-02-2021,11-02-2021
371,13384,1,100,SO47124,"? 1,320.68",2181.56,04-02-2021,16-02-2021,11-02-2021
375,13325,1,100,SO47125,"? 1,320.68",2181.56,04-02-2021,16-02-2021,11-02-2021
